DeviceTimeStamp,Primary_VL1,Primary_VL2,Primary_VL3,Primary_IL1,Primary_IL2,Primary_IL3,Secondary_VL1,Secondary_VL2,Secondary_VL3,Secondary_IL1,Secondary_IL2,Secondary_IL3,Oil_Temperature,Power_factor,High_Voltage_Winding_1,High_Voltage_Winding_2,High_Voltage_Winding_3,Low_Voltage_Winding_1,Low_Voltage_Winding_2,Low_Voltage_Winding_3,hv1-lv1,v2-lv2,hv3-lv3,primary_copper_loss,secondary_copper_loss,Total_copper_loss,Total_iron_loss,total_loss,efficiency
25-06-2022 13:06,11,11,11,42,41,40,0.433,0.433,0.433,1053,1025.82,1000.8,43,0.85,2,2,2,0.02,0.02,0.02,1.98,1.98,1.98,3363.333333,14414.10982,17777.44315,14000,31777.44315,0.961795738
27-06-2022 10:49,10.9,10.8,11.153,41.5,40,39,0.44,0.44,0.46,1040,1000.8,975.78,43,0.85,2.03,2.01,2.02,0.01,0.02,0.03,2.02,1.99,1.99,3261.529167,10292.42873,13553.9579,15500,29053.9579,0.964955287
27-06-2022 10:51,10.923,10.85,11.1,43,42,40,0.46,0.46,0.42,1073,1050.84,1000.8,43,0.85,2.01,1.99,1.98,0.03,0.04,0.01,1.98,1.95,1.97,3464.95,26240.15541,29705.10541,14000,43705.10541,0.9481986
27-06-2022 10:52,10.94,10.9,11.156,43.5,42.5,41.5,0.42,0.42,0.46,1086,1063.35,1038.33,43,0.85,1.98,1.97,1.96,0.02,0.01,0.014,1.96,1.96,1.946,3560.1925,11636.52962,15196.72212,13000,28196.72212,0.965954077
27-06-2022 10:52,11,10.99,11.05,41,41,40,0.41,0.46,0.42,1027,1025.82,1000.8,43,0.85,2.01,2,1.99,0.01,0.02,0.03,2,1.98,1.96,3308.27,10541.14915,13849.41915,12000,25849.41915,0.968699598
27-06-2022 10:53,10.92,10.85,11.19,39,39.5,38,0.4,0.42,0.44,979,988.29,950.76,42,0.85,2.01,1.97,2,0.03,0.01,0.02,1.98,1.96,1.98,3006.300833,12846.47215,15852.77298,13500,29352.77298,0.964607615
27-06-2022 10:54,10.96,10.9,11.1,40,40.5,41,0.39,0.41,0.46,999,1013.31,1025.82,40,0.85,2.01,1.96,2.03,0.02,0.013,0.024,1.99,1.947,2.006,3281.106667,11111.0009,14392.10757,14000,28392.10757,0.965726246
27-06-2022 10:56,10.8,11,10.95,42.5,41.5,42,0.38,0.4,0.42,1061,1038.33,1050.84,45,0.87,2.01,2.03,2.02,0.02,0.01,0.03,1.99,2.02,1.99,3563.336667,11109.07903,14672.4157,15000,29672.4157,0.964235986
27-06-2022 10:57,10.84,10.9,10.84,39.7,39.6,41.8,0.44,0.39,0.41,993,990.792,1045.836,46,0.87,1.99,2.01,1.98,0.04,0.03,0.01,1.95,1.98,1.97,3249.318633,22967.49399,26216.81263,16000,42216.81263,0.949874175
27-06-2022 11:00,10.83,10.94,10.86,39.8,40.2,41.3,0.46,0.38,0.4,995,1005.804,1033.326,47,0.87,1.97,1.98,1.96,0.01,0.02,0.014,1.96,1.96,1.946,3221.1568,10049.18343,13270.34023,17000,30270.34023,0.963541585
27-06-2022 11:01,10.82,10.91,10.95,39.5,40.1,41.2,0.42,0.44,0.39,989,1003.302,1030.824,47,0.87,2,2.01,1.99,0.02,0.01,0.03,1.98,2,1.96,3243.5019,9886.497917,13129.99982,16500,29629.99982,0.964285284
27-06-2022 11:10,11,11,10.8,39.4,39.2,40.5,0.41,0.45,0.38,980,980.784,1013.31,48,0.87,1.97,1.96,2,0.01,0.03,0.02,1.96,1.93,1.98,3116.8212,12827.46128,15944.28248,15000,30944.28248,0.962760099
