DeviceTimeStamp,Primary_VL1,Primary_VL2,Primary_VL3,Primary_IL1,Primary_IL2,Primary_IL3,Secondary_VL1,Secondary_VL2,Secondary_VL3,Secondary_IL1,Secondary_IL2,Secondary_IL3,Oil_Temperature,Power_factor,High_Voltage_Winding_Resistance_1,High_Voltage_Winding_Resistance_2,High_Voltage_Winding_Resistance_3,Low_Voltage_Winding_Resistance_1,Low_Voltage_Winding_Resistance_2,Low_Voltage_Winding_Resistance_3,Total_copper_loss,Total_iron_loss,Frequency,Fault
27-06-2022 10:50,11.0,11.0,11.0,42.0,41.0,40.0,0.433,0.433,0.433,1053.0,1025.82,1000.8,43.0,0.85,2.0,2.0,2.0,0.02,0.02,0.02,17777.44315,14000.0,50.0,0.0
27-06-2022 11:00,10.9,10.9,11.153,41.5,40.0,39.0,0.44,0.44,0.46,1040.0,1000.8,975.78,43.0,0.85,2.03,2.01,2.02,0.01,0.02,0.03,13553.9579,15500.0,50.0,0.0
27-06-2022 11:10,10.923,10.923,11.1,43.0,42.0,40.0,0.46,0.46,0.42,1073.0,1050.84,1000.8,43.0,0.85,2.01,1.99,1.98,0.03,0.04,0.01,29705.10541,14000.0,50.0,0.0
27-06-2022 11:20,10.94,10.94,11.156,43.5,42.5,41.5,0.42,0.42,0.46,1086.0,1063.35,1038.33,43.0,0.85,1.98,1.97,1.96,0.02,0.01,0.014,15196.72212,13000.0,50.0,0.0
27-06-2022 11:30,11.0,11.0,11.05,41.0,41.0,40.0,0.41,0.46,0.42,1027.0,1025.82,1000.8,43.0,0.85,2.01,2.0,1.99,0.01,0.02,0.03,13849.41915,12000.0,50.0,0.0
27-06-2022 11:40,10.92,10.92,11.19,39.0,39.5,38.0,0.4,0.42,0.44,979.0,988.29,950.76,42.0,0.85,2.01,1.97,2.0,0.03,0.01,0.02,15852.77298,13500.0,50.0,0.0
27-06-2022 11:50,10.96,10.96,11.1,40.0,40.5,41.0,0.39,0.41,0.46,999.0,1013.31,1025.82,40.0,0.85,2.01,1.96,2.03,0.02,0.013,0.024,14392.10757,14000.0,50.0,0.0
27-06-2022 12:00,10.8,10.8,10.95,42.5,41.5,42.0,0.38,0.4,0.42,1061.0,1038.33,1050.84,45.0,0.87,2.01,2.03,2.02,0.02,0.01,0.03,14672.4157,15000.0,50.0,0.0
27-06-2022 12:10,10.84,10.84,10.84,39.7,39.6,41.8,0.44,0.39,0.41,993.0,990.792,1045.836,46.0,0.87,1.99,2.01,1.98,0.04,0.03,0.01,26216.81263,16000.0,50.0,0.0
27-06-2022 12:20,10.83,10.94,10.86,39.8,40.2,41.3,0.46,0.38,0.4,995.0,1005.804,1033.326,47.0,0.87,1.97,1.98,1.96,0.01,0.02,0.014,13270.34023,17000.0,50.0,0.0
